"time","V","entity_id"
"2023-08-09T15:27:44.289+02:00","3.329","bat_caravan_cell_voltages_2"
"2023-08-09T15:27:44.293+02:00","3.325","bat_caravan_cell_voltages_3"
"2023-08-09T15:27:44.296+02:00","3.315","bat_caravan_cell_voltages_8"
"2023-08-09T15:27:50.372+02:00","3.327","bat_caravan_cell_voltages_2"
"2023-08-09T15:27:50.375+02:00","3.33","bat_caravan_cell_voltages_5"
"2023-08-09T15:27:50.379+02:00","3.331","bat_caravan_cell_voltages_6"
"2023-08-09T15:27:50.382+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:27:53.340+02:00","3.33","bat_caravan_cell_voltages_2"
"2023-08-09T15:27:53.343+02:00","3.33","bat_caravan_cell_voltages_4"
"2023-08-09T15:27:53.347+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:27:53.351+02:00","3.327","bat_caravan_cell_voltages_7"
"2023-08-09T15:27:53.354+02:00","3.326","bat_caravan_cell_voltages_8"
"2023-08-09T15:27:56.461+02:00","3.329","bat_caravan_cell_voltages_2"
"2023-08-09T15:27:56.469+02:00","3.332","bat_caravan_cell_voltages_4"
"2023-08-09T15:27:56.473+02:00","3.327","bat_caravan_cell_voltages_6"
"2023-08-09T15:27:56.476+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:27:56.482+02:00","3.319","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:02.452+02:00","3.324","bat_caravan_cell_voltages_1"
"2023-08-09T15:28:02.458+02:00","3.33","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:02.462+02:00","3.326","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:02.464+02:00","3.334","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:02.471+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:02.475+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:05.476+02:00","3.325","bat_caravan_cell_voltages_1"
"2023-08-09T15:28:05.480+02:00","3.324","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:05.486+02:00","3.332","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:05.489+02:00","3.329","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:08.492+02:00","3.327","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:08.496+02:00","3.325","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:08.500+02:00","3.334","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:08.504+02:00","3.331","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:08.507+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:08.510+02:00","3.319","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:11.553+02:00","3.33","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:11.557+02:00","3.332","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:11.562+02:00","3.329","bat_caravan_cell_voltages_5"
"2023-08-09T15:28:11.565+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:11.570+02:00","3.317","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:14.592+02:00","3.322","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:14.596+02:00","3.33","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:14.599+02:00","3.33","bat_caravan_cell_voltages_5"
"2023-08-09T15:28:14.602+02:00","3.331","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:14.605+02:00","3.329","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:14.608+02:00","3.326","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:17.602+02:00","3.325","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:17.606+02:00","3.334","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:17.611+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:17.615+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:20.631+02:00","3.324","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:20.634+02:00","3.321","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:23.667+02:00","3.329","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:23.671+02:00","3.325","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:23.674+02:00","3.329","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:23.677+02:00","3.326","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:26.704+02:00","3.332","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:26.710+02:00","3.331","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:26.713+02:00","3.327","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:26.716+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:29.722+02:00","3.33","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:29.726+02:00","3.324","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:29.729+02:00","3.334","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:29.733+02:00","3.329","bat_caravan_cell_voltages_5"
"2023-08-09T15:28:29.738+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:29.741+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:29.744+02:00","3.326","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:32.755+02:00","3.327","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:32.760+02:00","3.326","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:32.764+02:00","3.316","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:35.796+02:00","3.324","bat_caravan_cell_voltages_1"
"2023-08-09T15:28:35.799+02:00","3.33","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:35.802+02:00","3.325","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:35.805+02:00","3.33","bat_caravan_cell_voltages_5"
"2023-08-09T15:28:35.810+02:00","3.329","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:35.814+02:00","3.326","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:38.814+02:00","3.325","bat_caravan_cell_voltages_1"
"2023-08-09T15:28:38.818+02:00","3.329","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:38.822+02:00","3.33","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:38.825+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:41.846+02:00","3.334","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:41.851+02:00","3.329","bat_caravan_cell_voltages_5"
"2023-08-09T15:28:41.854+02:00","3.331","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:41.859+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:41.864+02:00","3.322","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:44.897+02:00","3.33","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:44.902+02:00","3.33","bat_caravan_cell_voltages_5"
"2023-08-09T15:28:44.905+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:44.910+02:00","3.327","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:44.915+02:00","3.326","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:47.952+02:00","3.326","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:47.956+02:00","3.334","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:47.960+02:00","3.331","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:47.963+02:00","3.329","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:47.968+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:51.028+02:00","3.325","bat_caravan_cell_voltages_3"
"2023-08-09T15:28:51.031+02:00","3.329","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:51.035+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:51.040+02:00","3.312","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:53.998+02:00","3.33","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:54.001+02:00","3.332","bat_caravan_cell_voltages_4"
"2023-08-09T15:28:54.005+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:28:54.008+02:00","3.329","bat_caravan_cell_voltages_7"
"2023-08-09T15:28:54.011+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:28:57.043+02:00","3.329","bat_caravan_cell_voltages_2"
"2023-08-09T15:28:57.046+02:00","3.329","bat_caravan_cell_voltages_5"
"2023-08-09T15:28:57.052+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:29:00.094+02:00","3.324","bat_caravan_cell_voltages_1"
"2023-08-09T15:29:00.097+02:00","3.33","bat_caravan_cell_voltages_2"
"2023-08-09T15:29:00.101+02:00","3.33","bat_caravan_cell_voltages_5"
"2023-08-09T15:29:00.104+02:00","3.331","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:00.110+02:00","3.329","bat_caravan_cell_voltages_7"
"2023-08-09T15:29:00.114+02:00","3.324","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:03.115+02:00","3.325","bat_caravan_cell_voltages_1"
"2023-08-09T15:29:03.118+02:00","3.329","bat_caravan_cell_voltages_2"
"2023-08-09T15:29:03.124+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:03.127+02:00","3.327","bat_caravan_cell_voltages_7"
"2023-08-09T15:29:03.130+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:06.137+02:00","3.322","bat_caravan_cell_voltages_1"
"2023-08-09T15:29:09.186+02:00","3.325","bat_caravan_cell_voltages_1"
"2023-08-09T15:29:09.190+02:00","3.331","bat_caravan_cell_voltages_4"
"2023-08-09T15:29:09.195+02:00","3.329","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:09.197+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:29:12.238+02:00","3.33","bat_caravan_cell_voltages_2"
"2023-08-09T15:29:12.242+02:00","3.332","bat_caravan_cell_voltages_4"
"2023-08-09T15:29:12.254+02:00","3.331","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:12.259+02:00","3.329","bat_caravan_cell_voltages_7"
"2023-08-09T15:29:12.263+02:00","3.324","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:15.275+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:15.279+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:29:15.282+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:18.273+02:00","3.331","bat_caravan_cell_voltages_4"
"2023-08-09T15:29:18.277+02:00","3.327","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:18.281+02:00","3.326","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:24.342+02:00","3.324","bat_caravan_cell_voltages_3"
"2023-08-09T15:29:24.346+02:00","3.332","bat_caravan_cell_voltages_4"
"2023-08-09T15:29:24.352+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:24.355+02:00","3.314","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:27.376+02:00","3.329","bat_caravan_cell_voltages_2"
"2023-08-09T15:29:27.380+02:00","3.326","bat_caravan_cell_voltages_3"
"2023-08-09T15:29:27.383+02:00","3.331","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:27.388+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:30.389+02:00","3.324","bat_caravan_cell_voltages_3"
"2023-08-09T15:29:30.394+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:30.399+02:00","3.326","bat_caravan_cell_voltages_7"
"2023-08-09T15:29:30.404+02:00","3.324","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:33.429+02:00","3.33","bat_caravan_cell_voltages_2"
"2023-08-09T15:29:33.433+02:00","3.33","bat_caravan_cell_voltages_7"
"2023-08-09T15:29:33.437+02:00","3.325","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:36.450+02:00","3.324","bat_caravan_cell_voltages_1"
"2023-08-09T15:29:36.453+02:00","3.325","bat_caravan_cell_voltages_3"
"2023-08-09T15:29:36.456+02:00","3.334","bat_caravan_cell_voltages_4"
"2023-08-09T15:29:36.462+02:00","3.329","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:39.465+02:00","3.325","bat_caravan_cell_voltages_1"
"2023-08-09T15:29:39.468+02:00","3.327","bat_caravan_cell_voltages_2"
"2023-08-09T15:29:39.471+02:00","3.327","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:39.475+02:00","3.324","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:42.500+02:00","3.329","bat_caravan_cell_voltages_2"
"2023-08-09T15:29:42.508+02:00","3.33","bat_caravan_cell_voltages_6"
"2023-08-09T15:29:42.514+02:00","3.326","bat_caravan_cell_voltages_8"
"2023-08-09T15:29:45.533+02:00","3.327","bat_caravan_cell_voltages_2"
"2023-08-09T15:29:45.537+02:00","3.332","bat_caravan_cell_voltages_4"
